location_id,location_name,latitude,longitude,date,no2_valid_pixels,no2_mean,no2_std,no2_min,no2_max,no2_median,co_valid_pixels,co_mean,co_std,co_min,co_max,co_median,so2_valid_pixels,so2_mean,so2_std,so2_min,so2_max,so2_median,aer_ai_340_380_valid_pixels,aer_ai_340_380_mean,aer_ai_340_380_std,aer_ai_340_380_min,aer_ai_340_380_max,aer_ai_340_380_median,s2_valid_pixels,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,ndvi_median,ndbi_mean,ndbi_std,ndbi_min,ndbi_max,ndbi_median,ndwi_mean,ndwi_std,ndwi_min,ndwi_max,ndwi_median,day_of_week,month,day_of_year
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-21,0,,,,,,97.0,0.03488387167453766,0.003640732727944851,0.028975144028663635,0.04070836305618286,0.033517081290483475,66.0,-4.265407824277645e-06,0.00010520927753532305,-0.00018974886916112155,0.0002038071397691965,-3.8963639781286474e-06,156,-1.5642019510269165,0.4719848036766052,-2.4615917205810547,-0.7291678190231323,-1.5805931091308594,45954,-0.07321751117706299,0.07828976213932037,-0.5542458891868591,0.47204864025115967,-0.07361342012882233,-0.10228420794010162,0.17372113466262817,-0.6758923530578613,0.44675183296203613,-0.09196412563323975,0.11769246309995651,0.07287164777517319,-0.3900285065174103,0.38575929403305054,0.11463022232055664,6,9,264
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-22,0,,,,,,132.0,0.04349473863840103,0.0014869485748931766,0.04101685434579849,0.04831649363040924,0.043374203145504,53.0,1.3482753274729475e-05,9.045263868756592e-05,-0.00013430080434773117,0.0002768208796624094,-8.511096325491962e-07,156,0.20112355053424835,0.4424647092819214,-0.6573321223258972,1.3054016828536987,0.22819964587688446,0,,,,,,,,,,,,,,,,0,9,265
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-23,144,4.311294833314605e-05,1.0410294635221362e-05,1.5945721315802075e-05,6.65179468342103e-05,4.144202102907002e-05,156.0,0.0509212426841259,0.0014487685402855277,0.046269915997982025,0.05443594232201576,0.05101006478071213,153.0,6.785905952710891e-07,9.249321738025174e-05,-0.00024119795125443488,0.00033647564123384655,6.991046461735095e-07,156,-0.7215591669082642,0.265259325504303,-1.0865540504455566,0.22598080337047577,-0.7852783203125,0,,,,,,,,,,,,,,,,1,9,266
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-24,108,3.4141768992412835e-05,8.814108696242329e-06,7.307594387384597e-06,5.121576032252051e-05,3.434107929933816e-05,141.0,0.032938774675130844,0.0025853279512375593,0.027328267693519592,0.03838542848825455,0.03288974240422249,128.0,-1.1088275641668588e-05,9.923439210979268e-05,-0.00021952102542854846,0.0002766221878118813,-1.6738420526962727e-05,156,-0.9885348677635193,0.43364524841308594,-1.917516827583313,0.6339028477668762,-1.059829831123352,45954,0.05606520548462868,0.046297457069158554,-0.11682947725057602,0.6505734324455261,0.04684082046151161,-0.00861840508878231,0.039212893694639206,-0.27750465273857117,0.29454898834228516,-0.01473443116992712,-0.03884906321763992,0.041384994983673096,-0.5430753827095032,0.08626186102628708,-0.030302969738841057,2,9,267
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-25,0,,,,,,8.0,0.047032054513692856,0.0021704721730202436,0.04383256658911705,0.04951714351773262,0.047389253973960876,0.0,,,,,,156,-1.3389557600021362,0.2855517268180847,-2.077054500579834,-0.4330087900161743,-1.3337434530258179,0,,,,,,,,,,,,,,,,3,9,268
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-26,0,,,,,,6.0,0.03379245474934578,0.001038536662235856,0.03217659145593643,0.035116348415613174,0.0334484837949276,0.0,,,,,,156,-1.4804270267486572,0.22932036221027374,-2.2207250595092773,-0.9310231804847717,-1.4583845138549805,0,,,,,,,,,,,,,,,,4,9,269
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-27,98,3.1284012948162854e-05,8.028820047911722e-06,7.783921319060028e-06,5.1037375669693574e-05,3.234327959944494e-05,156.0,0.028832754120230675,0.002118919976055622,0.025363875553011894,0.03512244299054146,0.028238445520401,135.0,1.4282347365224268e-05,0.00018543376063462347,-0.00046389910858124495,0.0005527879111468792,1.782036451913882e-05,156,0.006135660223662853,0.4578297734260559,-0.8172305822372437,1.4474915266036987,-0.08822920173406601,0,,,,,,,,,,,,,,,,5,9,270
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-28,8,3.6202389310346916e-05,5.35802291778964e-06,2.9344340873649344e-05,4.346128480392508e-05,3.610394196584821e-05,0.0,,,,,,14.0,7.69233338360209e-06,0.0001321317977271974,-0.0002684412756934762,0.00024673997540958226,1.4524906873703003e-05,156,-0.03746500983834267,0.23772770166397095,-0.7886176705360413,0.34232085943222046,0.030966054648160934,0,,,,,,,,,,,,,,,,6,9,271
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-29,0,,,,,,0.0,,,,,,0.0,,,,,,156,-0.17628347873687744,0.13433119654655457,-0.6013630032539368,0.16858449578285217,-0.16544759273529053,45954,0.031675491482019424,0.0016499091871082783,0.024323072284460068,0.0386384017765522,0.03166590631008148,-0.633466362953186,0.007116794120520353,-0.6484490633010864,-0.6099986433982849,-0.6357495784759521,-0.03569193556904793,0.0016358009306713939,-0.042357247322797775,-0.02825380116701126,-0.035648997873067856,0,9,272
2161292,"Số 46, phố Lưu Quang Vũ",21.0152,105.7999,2025-09-30,0,,,,,,0.0,,,,,,0.0,,,,,,156,-0.5972388982772827,0.1427999883890152,-1.1748236417770386,-0.3597269356250763,-0.5606361627578735,0,,,,,,,,,,,,,,,,1,9,273
