location_id,date,hcho_mean
2161322,2021-01-07,
4946811,2021-01-07,
4946812,2021-01-07,
4946813,2021-01-07,
6123215,2021-01-07,
18,2021-01-06,
2539,2021-01-06,
7441,2021-01-06,
307169,2021-01-06,
1285357,2021-01-06,
2161290,2021-01-06,
2161291,2021-01-06,
2161292,2021-01-06,
2161293,2021-01-06,
2161294,2021-01-06,
2161295,2021-01-06,
2161296,2021-01-06,
2161298,2021-01-06,
2161299,2021-01-06,
2161300,2021-01-06,
2161301,2021-01-06,
2161303,2021-01-06,
2161304,2021-01-06,
2161306,2021-01-06,
2161307,2021-01-06,
2161308,2021-01-06,
2161309,2021-01-06,
2161313,2021-01-06,
2161314,2021-01-06,
2161315,2021-01-06,
2161316,2021-01-06,
2161318,2021-01-06,
2161320,2021-01-06,
2161321,2021-01-06,
2161322,2021-01-06,
4946811,2021-01-06,
4946812,2021-01-06,
4946813,2021-01-06,
6123215,2021-01-06,
18,2021-01-14,0.00033958158719242683
2539,2021-01-14,0.0003304156837540163
7441,2021-01-14,0.0003305313470288176
307169,2021-01-14,0.00027827003877554
1285357,2021-01-14,0.00033987500451351793
2161290,2021-01-14,0.00033600814667106613
2161291,2021-01-14,0.0004047274058857044
2161292,2021-01-14,0.0003834263382599831
2161293,2021-01-14,0.0002807720756545724
2161294,2021-01-14,0.00022649468248198574
2161295,2021-01-14,0.00027022810250639797
2161296,2021-01-14,0.00020758116593367297
2161298,2021-01-14,0.00022286399179157493
2161299,2021-01-14,0.00020582530967768768
2161300,2021-01-14,0.00024181633142218473
2161301,2021-01-14,0.0003614180129143358
2161303,2021-01-14,0.0003252451014716706
2161304,2021-01-14,0.00026816701338185995
2161306,2021-01-14,0.00040779553853648686
2161307,2021-01-14,0.0004075523628420656
2161308,2021-01-14,0.00038962784809986234
2161309,2021-01-14,0.00024939363866164905
2161313,2021-01-14,0.0003211709502614027
2161314,2021-01-14,0.00033941689039588614
2161315,2021-01-14,0.0003815583337376747
2161316,2021-01-14,0.0003447876478631433
2161318,2021-01-14,0.00018217866714908892
2161320,2021-01-14,0.00023924187623352517
2161321,2021-01-14,0.00033693305621199657
2161322,2021-01-14,0.0003339917073358642
4946811,2021-01-14,0.00012198518679101383
4946812,2021-01-14,0.0003958327490567113
4946813,2021-01-14,0.00031845902362894835
6123215,2021-01-14,0.00024857094444175965
18,2021-01-04,
2539,2021-01-04,
7441,2021-01-04,
307169,2021-01-04,
1285357,2021-01-04,
2161290,2021-01-04,
2161291,2021-01-04,
2161292,2021-01-04,
2161293,2021-01-04,
2161294,2021-01-04,
2161295,2021-01-04,
2161296,2021-01-04,
2161298,2021-01-04,
2161299,2021-01-04,
2161300,2021-01-04,
2161301,2021-01-04,
2161303,2021-01-04,
2161304,2021-01-04,
2161306,2021-01-04,
2161307,2021-01-04,
2161308,2021-01-04,
2161309,2021-01-04,
2161313,2021-01-04,
2161314,2021-01-04,
2161315,2021-01-04,
2161316,2021-01-04,
2161318,2021-01-04,
2161320,2021-01-04,
2161321,2021-01-04,
2161322,2021-01-04,
4946811,2021-01-04,
4946812,2021-01-04,
4946813,2021-01-04,
6123215,2021-01-04,
18,2021-01-13,0.0003919876752644482
2539,2021-01-13,0.00041420158081079356
7441,2021-01-13,0.0004142155398707487
307169,2021-01-13,0.0003943530600956951
1285357,2021-01-13,0.00039231668573196766
2161290,2021-01-13,0.00033166271164561823
2161291,2021-01-13,0.0003667927236024373
2161292,2021-01-13,0.0004393640792332153
2161293,2021-01-13,0.00027813992705806416
2161294,2021-01-13,0.00037317999016757116
2161295,2021-01-13,0.0003826311940883548
2161296,2021-01-13,0.0003716459803039062
2161298,2021-01-13,0.0003748076385917626
2161299,2021-01-13,0.00037733528017670244
2161300,2021-01-13,0.00037891204052537046
2161301,2021-01-13,0.0004545179938379925
2161303,2021-01-13,0.0004166118833052222
2161304,2021-01-13,0.00039240753240148265
2161306,2021-01-13,0.00032517076192272116
2161307,2021-01-13,0.00040845331482846687
2161308,2021-01-13,0.00036166342788776783
2161309,2021-01-13,0.0003988324541879852
2161313,2021-01-13,0.0004335348457481342
2161314,2021-01-13,0.00037334939676810094
2161315,2021-01-13,0.000396365486443428
2161316,2021-01-13,0.0004205166617228267
2161318,2021-01-13,0.0004034328497844909
2161320,2021-01-13,0.00042192755150423687
2161321,2021-01-13,0.00047890912661038924
2161322,2021-01-13,0.00028326428801510545
4946811,2021-01-13,0.0003406379865859933
4946812,2021-01-13,0.00046077625420186445
4946813,2021-01-13,0.00041422845803665173
6123215,2021-01-13,0.0003606282266726929
18,2021-01-11,-0.00011094237489757153
2539,2021-01-11,-0.00011094237533857566
7441,2021-01-11,-0.00011094237532981811
307169,2021-01-11,-0.00011094237534468454
