hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date,month
135,0.0001210565096698,0.0001068949422915,-0.0001171858602901,0.0004880139895249,0.0001023473305394,4946813,2025-12-15,12
0,,,,,,4946813,2025-12-16,12
6,2.4687638870091178e-05,3.619826020440087e-05,-2.2383788746083155e-05,7.750646909698844e-05,3.501291939755902e-05,4946813,2025-12-17,12
136,0.0001188382666441,9.031597437569872e-05,-0.0001007622558972,0.0004860453191213,0.0001070381258614,4946813,2025-12-18,12
149,0.0001291564112761,0.0001062755472958,-9.563448111293836e-05,0.000529104436282,0.0001175509751192,4946813,2025-12-19,12
101,8.12110083643347e-05,5.339233757695183e-05,-2.8251080948393792e-05,0.000206248514587,7.99746485427022e-05,4946813,2025-12-20,12
78,8.457029616693035e-05,7.471674325643107e-05,-9.692869207356124e-05,0.0002211792452726,9.820787090575324e-05,4946813,2025-12-21,12
50,9.313549526268616e-05,6.053020842955448e-05,-4.436200833879411e-05,0.0001704259630059,0.0001009686166071,4946813,2025-12-22,12
76,7.425204967148602e-05,8.578403503634036e-05,-0.0001320808805758,0.000332485535182,7.637696398887783e-05,4946813,2025-12-23,12
105,8.461373363388702e-05,7.535825716331601e-05,-0.0001761596649885,0.0002869563759304,7.301475125132129e-05,4946813,2025-12-24,12
17,7.950121653266251e-05,9.998529276344924e-05,-0.0001092712918762,0.0002509707410354,7.053230365272611e-05,4946813,2025-12-25,12
156,0.0001691226207185,0.0001181247207568,-0.0001556727365823,0.0005150745273567,0.0001796078577172,4946813,2025-12-26,12
0,,,,,,4946813,2025-12-27,12
21,7.410299440380186e-05,4.561722744256258e-05,-3.08769776893314e-05,0.0001556909701321,7.942757656564936e-05,4946813,2025-12-28,12
0,,,,,,4946813,2025-12-29,12
0,,,,,,4946813,2025-12-30,12
0,,,,,,4946813,2025-12-31,12
8,0.0001297414710279,8.21266949060373e-05,5.709183824365027e-06,0.0002310057170689,0.0001411254779668,4946813,2026-01-01,1
0,,,,,,4946813,2026-01-02,1
0,,,,,,4946813,2026-01-03,1
50,8.404983236687258e-05,6.477779243141413e-05,-6.97107971063815e-05,0.0002341072395211,8.501185948261991e-05,4946813,2026-01-04,1
0,,,,,,4946813,2026-01-05,1
0,,,,,,4946813,2026-01-06,1
156,0.0001690151839284,9.402532305102795e-05,-0.0001106153940781,0.0004191044426988,0.0001739778672344,4946813,2026-01-07,1
156,0.0001758912840159,0.0001089780489564,-0.0001088831340894,0.0005364456446841,0.0001770993403624,4946813,2026-01-08,1
156,0.0002021202089963,0.0001384867791784,-0.0001705983304418,0.0005684379138983,0.0001966723066288,4946813,2026-01-09,1
156,0.0001766181230777,0.0001071926672011,-0.0001092903112294,0.0004908958799205,0.0001737057173158,4946813,2026-01-10,1
156,0.0002165927435271,9.960378520190716e-05,-3.959139212383889e-05,0.0004742666787933,0.0002173901593778,4946813,2026-01-11,1
135,0.0001112544559873,6.975186988711357e-05,-6.050069350749254e-05,0.0003208810812793,0.0001040212810039,4946813,2026-01-12,1
156,0.0001357684668619,0.0001184727952932,-0.0001372366095893,0.0004202032578177,0.0001405365328537,4946813,2026-01-13,1
149,0.0001884384109871,0.0001093095124815,-0.0001495111209806,0.0004289753560442,0.0001784113119356,4946813,2026-01-14,1
0,,,,,,4946813,2026-01-15,1
0,,,,,,4946813,2026-01-16,1
3,2.416396455373615e-05,6.03876615059562e-05,-1.8536562492954545e-05,0.0001095650150091,-1.8536562492954545e-05,4946813,2026-01-17,1
71,7.987485878402367e-05,4.995603740098886e-05,-5.1452287152642384e-05,0.0002174222026951,8.152524242177606e-05,4946813,2026-01-18,1
