location_id,date,t850_mean,t925_mean,t1000_mean,inv_850_1000_mean,inv_850_1000_max,inv_925_1000_mean,inv_850_1000_morning
2161306,2024-08-17,20.919886525472027,25.108300781250023,28.757043457031273,-7.837156931559245,-5.959228515625,-3.64874267578125,-6.711570739746094
2161306,2024-08-18,21.29337081909182,25.63210194905601,29.591299947102886,-8.297929128011068,-6.18170166015625,-3.959197998046875,-6.9542083740234375
2161306,2024-08-19,21.41385930379234,26.21176935831708,29.710683441162132,-8.296824137369791,-6.365020751953125,-3.4989140828450522,-7.123313903808594
2161306,2024-08-20,21.010818735758487,25.22577056884768,29.027805582682316,-8.016986846923828,-5.60687255859375,-3.8020350138346353,-7.029815673828125
2161306,2024-08-21,20.529021199544292,24.975909169514996,28.25114212036135,-7.722120920817058,-5.868377685546875,-3.275232950846354,-6.638092041015625
2161306,2024-08-22,20.799133555094425,24.691682434082054,27.802700297037784,-7.003566741943359,-4.09027099609375,-3.111017862955729,-6.573150634765625
2161306,2024-08-23,20.451177215576195,24.181553141276066,27.536131795247417,-7.084954579671224,-4.76458740234375,-3.354578653971354,-5.15966796875
2161306,2024-08-24,20.234449005126976,23.996748860677105,27.701379394531273,-7.466930389404297,-4.98779296875,-3.7046305338541665,-5.985084533691406
2161306,2024-08-25,19.674396769205753,23.819206492106144,27.40401992797854,-7.729623158772786,-5.137725830078125,-3.584813435872396,-5.43731689453125
2161306,2024-08-26,20.304289754231792,23.76535568237307,27.859807586669945,-7.555517832438151,-4.448272705078125,-4.094451904296875,-6.30181884765625
2161306,2024-08-27,21.068791961669945,25.45373179117841,29.178885396321636,-8.110093434651693,-4.79901123046875,-3.725153605143229,-6.076545715332031
2161306,2024-08-28,21.98017781575523,26.68299255371096,30.50692011515302,-8.526742299397787,-6.2332763671875,-3.823927561442057,-7.1784210205078125
2161306,2024-08-29,21.761039988199894,25.80386123657229,30.0020576477051,-8.241017659505209,-5.830413818359375,-4.1981964111328125,-7.262725830078125
2161306,2024-08-30,20.266043599446636,24.1039494832357,28.082756296793644,-7.816712697347005,-5.39971923828125,-3.978806813557943,-5.796455383300781
2161306,2024-08-31,19.753200785319034,23.87700169881187,28.45212834676109,-8.698927561442057,-6.455291748046875,-4.575126647949219,-7.412376403808594
2161306,2024-09-01,19.759005482991558,23.66272888183596,27.83405456542971,-8.07504908243815,-6.45391845703125,-4.17132568359375,-7.596031188964844
2161306,2024-09-02,20.580538686116558,24.595572408040386,29.122060394287132,-8.541521708170572,-6.4105224609375,-4.526487986246745,-7.194938659667969
2161306,2024-09-03,21.124607340494816,24.873988087972027,29.76161346435549,-8.637006123860678,-6.145355224609375,-4.887625376383464,-7.359527587890625
2161306,2024-09-04,22.09051920572919,26.589206949869816,30.245936330159527,-8.155417124430338,-5.56805419921875,-3.6567293802897134,-7.05218505859375
2161306,2024-09-05,22.414258575439476,27.687635040283226,31.84787775675458,-9.433619181315104,-5.743896484375,-4.1602427164713545,-7.307609558105469
2161306,2024-09-06,21.57155634562177,27.024582163492862,31.07233581542971,-9.500779469807943,-7.631011962890625,-4.047753651936849,-8.556465148925781
2161306,2024-09-07,18.939748382568382,23.392551676432316,27.256174977620464,-8.316426595052084,-6.74444580078125,-3.863623301188151,-8.582664489746094
2161306,2024-09-08,20.837009684244816,25.14531224568687,28.260435994466167,-7.4234263102213545,-5.6798095703125,-3.115123748779297,-7.13592529296875
2161306,2024-09-09,19.830429331461612,23.283142344156925,26.75804417928062,-6.927614847819011,-4.8502197265625,-3.4749018351236978,-6.58502197265625
2161306,2024-09-10,18.3492256164551,21.234741465250675,24.46150995890302,-6.112284342447917,-5.54669189453125,-3.2267684936523438,-5.679817199707031
2161306,2024-09-11,17.9779360453288,21.90760192871096,25.050420379638695,-7.0724843343098955,-6.16522216796875,-3.1428184509277344,-6.422462463378906
2161306,2024-09-12,18.531482950846378,22.65996068318687,26.307300821940128,-7.77581787109375,-6.023712158203125,-3.6473401387532554,-6.535133361816406
2161306,2024-09-13,19.545430755615257,24.149268086751324,27.5253362019857,-7.979905446370442,-4.84844970703125,-3.376068115234375,-6.592376708984375
2161306,2024-09-14,20.544592793782574,24.838574981689476,28.73068008422854,-8.186087290445963,-5.489959716796875,-3.8921051025390625,-6.700416564941406
2161306,2024-09-15,20.562219238281273,24.844421641031925,29.23673019409182,-8.674510955810547,-6.219757080078125,-4.3923085530598955,-6.970680236816406
2161306,2024-09-16,19.139314270019554,23.76900507609052,28.179462687174503,-9.040148417154947,-6.59576416015625,-4.410457611083984,-7.191825866699219
2161306,2024-09-17,19.24158121744794,23.714370981852237,27.150435384114605,-7.908854166666667,-6.3272705078125,-3.4360644022623696,-6.911094665527344
2161306,2024-09-18,19.89799270629885,24.953402455647808,28.7117261250814,-8.813733418782553,-6.553558349609375,-3.7583236694335938,-7.433265686035156
2161306,2024-09-19,20.086389160156273,25.080412801106792,28.79669342041018,-8.710304260253906,-6.454345703125,-3.7162806193033853,-7.830726623535156
2161306,2024-09-20,19.923926289876324,24.47367121378583,28.271775817871116,-8.347849527994791,-5.8797607421875,-3.7981046040852866,-7.2586669921875
2161306,2024-09-21,19.699122365315777,23.613662974039737,27.763698832194034,-8.064576466878256,-6.09979248046875,-4.150035858154297,-6.897682189941406
2161306,2024-09-22,18.01869990030927,21.58935190836591,26.251880900065128,-8.23318099975586,-6.72021484375,-4.662528991699219,-8.050712585449219
2161306,2024-09-23,16.862575785319034,21.334798431396507,26.23244374593101,-9.369867960611979,-7.7786865234375,-4.897645314534505,-8.255622863769531
2161306,2024-09-24,16.91749471028648,22.30810063680015,26.812032318115257,-9.894537607828775,-6.9095458984375,-4.5039316813151045,-8.807151794433594
2161306,2024-09-25,17.747073109944683,22.677428181966167,25.284434254964214,-7.537361145019531,-5.851226806640625,-2.607006072998047,-6.898338317871094
2161306,2024-09-26,19.032984670003277,22.806817626953148,26.922849273681663,-7.889864603678386,-5.47576904296875,-4.116031646728516,-6.3992919921875
2161306,2024-09-27,20.185193634033226,24.043069458007835,27.707295989990257,-7.522102355957031,-4.70489501953125,-3.664226531982422,-6.233245849609375
2161306,2024-09-28,21.470302836100284,24.74007314046226,28.407198842366558,-6.936896006266276,-4.68792724609375,-3.667125701904297,-5.733917236328125
2161306,2024-09-29,21.160872395833355,24.491832987467472,28.487725830078148,-7.326853434244792,-5.934539794921875,-3.9958928426106772,-6.826866149902344
2161306,2024-09-30,20.00422566731773,23.232629394531273,26.356011962890648,-6.351786295572917,-4.996673583984375,-3.123382568359375,-6.323616027832031
2161306,2024-10-01,16.756930287679058,19.336885070800804,25.133969879150413,-8.377039591471354,-5.79168701171875,-5.797084808349609,-6.8704071044921875
2161306,2024-10-02,14.342441813151064,18.697562154134136,23.76545613606773,-9.423014322916666,-7.987030029296875,-5.067893981933594,-8.294929504394531
2161306,2024-10-03,14.489441172281923,19.166946665445987,24.24549255371096,-9.756051381429037,-7.453399658203125,-5.078545888264974,-8.104530334472656
2161306,2024-10-04,15.914940134684267,19.877188618977886,24.798647816975933,-8.883707682291666,-5.51715087890625,-4.921459197998047,-7.334259033203125
2161306,2024-10-05,16.71370722452802,20.84402236938479,25.764218902587913,-9.050511678059896,-5.34710693359375,-4.920196533203125,-6.135505676269531
2161306,2024-10-06,16.29499969482424,22.163655853271507,27.04708887736005,-10.752089182535807,-7.078125,-4.883433024088542,-7.9903564453125
2161306,2024-10-07,16.828237152099632,22.698940531412784,27.630737559000675,-10.802500406901041,-8.63916015625,-4.931797027587891,-9.00811767578125
2161306,2024-10-08,16.064099884033226,21.45555394490562,26.488284047444683,-10.424184163411459,-8.391998291015625,-5.0327301025390625,-8.656669616699219
2161306,2024-10-09,15.57484079996747,20.905873870849632,26.1159975687663,-10.541156768798828,-8.6373291015625,-5.210123697916667,-9.301025390625
2161306,2024-10-10,15.808784739176454,21.252048746744816,26.105229949951195,-10.29644521077474,-7.854827880859375,-4.85318120320638,-8.6453857421875
2161306,2024-10-11,16.567627207438175,21.740748341878277,26.026648457845074,-9.4590212504069,-6.5416259765625,-4.285900115966797,-7.949913024902344
2161306,2024-10-12,16.758711751302105,21.231055196126324,25.77210133870445,-9.013389587402344,-7.038787841796875,-4.541046142578125,-7.6488037109375
2161306,2024-10-13,17.669418589274112,21.874026234944683,26.18646392822268,-8.517045338948568,-6.43182373046875,-4.312437693277995,-7.2912445068359375
2161306,2024-10-14,18.11756286621096,22.310320790608746,27.01388575236005,-8.896322886149088,-6.46307373046875,-4.703564961751302,-7.4236907958984375
