location_id,date,aod_mean
7441,2021-01-22,
307169,2021-01-22,
1285357,2021-01-22,
2161290,2021-01-22,
2161291,2021-01-22,
2161292,2021-01-22,
2161293,2021-01-22,
2161294,2021-01-22,
2161295,2021-01-22,
2161296,2021-01-22,
2161298,2021-01-22,
2161299,2021-01-22,
2161300,2021-01-22,
2161301,2021-01-22,
2161303,2021-01-22,
2161304,2021-01-22,
2161306,2021-01-22,
2161307,2021-01-22,
2161308,2021-01-22,
2161309,2021-01-22,
2161313,2021-01-22,
2161314,2021-01-22,
2161315,2021-01-22,
2161316,2021-01-22,
2161318,2021-01-22,
2161320,2021-01-22,
2161321,2021-01-22,
2161322,2021-01-22,
4946811,2021-01-22,
4946812,2021-01-22,
4946813,2021-01-22,
6123215,2021-01-22,
18,2021-01-19,0.5572106840809333
2539,2021-01-19,0.5231269146608317
7441,2021-01-19,0.5232317014574769
307169,2021-01-19,0.5111954601424058
1285357,2021-01-19,0.5567889132644872
2161290,2021-01-19,0.5090596073261453
2161291,2021-01-19,0.5652931272834996
2161292,2021-01-19,0.5282433146766168
2161293,2021-01-19,0.49440809880733516
2161294,2021-01-19,0.4902940968896505
2161295,2021-01-19,0.4926068226856657
2161296,2021-01-19,0.4865187899578978
2161298,2021-01-19,0.4905432227192342
2161299,2021-01-19,0.48910764737121587
2161300,2021-01-19,0.4952186796315249
2161301,2021-01-19,0.5247220576996562
2161303,2021-01-19,0.5152823610973555
2161304,2021-01-19,0.5102307692307689
2161306,2021-01-19,0.5871303324230153
2161307,2021-01-19,0.5393744021522519
2161308,2021-01-19,0.5926812463813884
2161309,2021-01-19,0.4820685170350128
2161313,2021-01-19,0.5077883283877349
2161314,2021-01-19,0.5847449721865637
2161315,2021-01-19,0.5106266007532958
2161316,2021-01-19,0.5244953365129835
2161318,2021-01-19,0.5027343390574012
2161320,2021-01-19,0.5962208684198147
2161321,2021-01-19,0.5080841535201317
2161322,2021-01-19,0.7904780501576252
4946811,2021-01-19,0.4669812898653437
4946812,2021-01-19,0.5229561954282351
4946813,2021-01-19,0.5109810086720603
6123215,2021-01-19,0.5004991759664736
18,2021-01-29,0.8981967467079782
2539,2021-01-29,
7441,2021-01-29,
307169,2021-01-29,
1285357,2021-01-29,0.8986814641744548
2161290,2021-01-29,0.8504138555776034
2161291,2021-01-29,0.8873156182212584
2161292,2021-01-29,
2161293,2021-01-29,0.8321264586609285
2161294,2021-01-29,
2161295,2021-01-29,
2161296,2021-01-29,
2161298,2021-01-29,
2161299,2021-01-29,
2161300,2021-01-29,
2161301,2021-01-29,
2161303,2021-01-29,
2161304,2021-01-29,0.9570000000000001
2161306,2021-01-29,0.8278886432394696
2161307,2021-01-29,0.9391112426035503
2161308,2021-01-29,0.874936320754717
2161309,2021-01-29,
2161313,2021-01-29,
2161314,2021-01-29,0.8812180904522615
2161315,2021-01-29,0.8976383159084488
2161316,2021-01-29,
2161318,2021-01-29,0.8975044143613891
2161320,2021-01-29,0.8966822177146722
2161321,2021-01-29,0.874
2161322,2021-01-29,0.8072946421991304
4946811,2021-01-29,
4946812,2021-01-29,
4946813,2021-01-29,
6123215,2021-01-29,
18,2021-01-26,
2539,2021-01-26,
7441,2021-01-26,
307169,2021-01-26,
1285357,2021-01-26,
2161290,2021-01-26,
2161291,2021-01-26,
2161292,2021-01-26,
2161293,2021-01-26,
2161294,2021-01-26,
2161295,2021-01-26,
2161296,2021-01-26,
2161298,2021-01-26,
2161299,2021-01-26,
2161300,2021-01-26,
2161301,2021-01-26,
2161303,2021-01-26,
2161304,2021-01-26,
2161306,2021-01-26,
2161307,2021-01-26,
2161308,2021-01-26,
2161309,2021-01-26,
2161313,2021-01-26,
2161314,2021-01-26,
2161315,2021-01-26,
2161316,2021-01-26,
2161318,2021-01-26,
2161320,2021-01-26,
2161321,2021-01-26,
2161322,2021-01-26,
4946811,2021-01-26,
4946812,2021-01-26,
4946813,2021-01-26,
6123215,2021-01-26,
18,2021-01-24,
2539,2021-01-24,1.6098013071895423
7441,2021-01-24,1.6109189189189188
307169,2021-01-24,1.627242424242424
1285357,2021-01-24,
2161290,2021-01-24,1.1337465769320028
2161291,2021-01-24,
2161292,2021-01-24,1.4215463917525777
2161293,2021-01-24,1.0647074106879246
2161294,2021-01-24,1.6425124816446404
2161295,2021-01-24,1.570786012755663
2161296,2021-01-24,1.6556659436008676
2161298,2021-01-24,1.6445809641532758
2161299,2021-01-24,1.681
2161300,2021-01-24,1.6293858974358975
2161301,2021-01-24,1.4288732953564645
2161303,2021-01-24,1.5144611694837826
2161304,2021-01-24,1.6512898550724637
2161306,2021-01-24,
2161307,2021-01-24,1.16
2161308,2021-01-24,
2161309,2021-01-24,1.3330537639726971
