location_id,date,hcho_mean,hcho_max,hcho_morning,month
2161292,2024-10-15,4.066666666666666,5.7,3.1,10
2161292,2024-10-16,5.479166666666667,8.7,4.625,10
2161292,2024-10-17,5.858333333333333,7.0,5.75,10
2161292,2024-10-18,4.516666666666667,8.1,2.825,10
2161292,2024-10-19,3.470833333333333,6.4,1.675,10
2161292,2024-10-20,4.254166666666666,7.1,2.7,10
2161292,2024-10-21,6.7375,10.6,4.6,10
2161292,2024-10-22,7.295833333333333,10.1,8.7,10
2161292,2024-10-23,3.2916666666666665,5.2,2.075,10
2161292,2024-10-24,6.079166666666667,10.2,6.4,10
2161292,2024-10-25,8.054166666666667,11.8,10.4,10
2161292,2024-10-26,7.245833333333334,11.7,10.799999999999999,10
2161292,2024-10-27,3.0541666666666667,4.2,1.725,10
2161292,2024-10-28,3.4291666666666667,6.6,1.4249999999999998,10
2161292,2024-10-29,4.9750000000000005,8.4,3.5,10
2161292,2024-10-30,6.691666666666666,9.3,8.35,10
2161292,2024-10-31,8.916666666666666,12.2,9.825,10
2161292,2024-11-01,7.466666666666666,12.6,10.95,11
2161292,2024-11-02,4.8374999999999995,9.9,3.975,11
2161292,2024-11-03,6.45,8.0,7.05,11
2161292,2024-11-04,6.095833333333334,9.0,7.75,11
2161292,2024-11-05,4.270833333333333,7.5,2.675,11
2161292,2024-11-06,5.345833333333334,6.1,5.175,11
2161292,2024-11-07,6.0874999999999995,9.3,6.95,11
2161292,2024-11-08,7.333333333333333,10.5,9.7,11
2161292,2024-11-09,9.075000000000001,12.4,11.425,11
2161292,2024-11-10,8.0625,10.7,10.0,11
2161292,2024-11-11,8.416666666666666,10.2,10.05,11
2161292,2024-11-12,6.354166666666667,8.5,7.9,11
2161292,2024-11-13,4.875,6.2,5.625,11
2161292,2024-11-14,5.158333333333333,9.8,3.375,11
2161292,2024-11-15,4.25,7.4,3.15,11
2161292,2024-11-16,3.4625,7.4,1.525,11
2161292,2024-11-17,4.2250000000000005,9.8,1.9,11
2161292,2024-11-18,4.995833333333334,7.0,4.3,11
2161292,2024-11-19,5.545833333333333,9.3,4.275,11
