latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
13.49169,108.11169,332.63,0.38,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.07,2.11,D
13.10583,106.22965,335.87,0.52,0.67,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.05,7.57,D
13.53784,108.49217,337.14,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.11,2.44,D
13.3642,107.63735,333.38,0.41,0.61,2026-04-01,0531,N,VIIRS,n,2.0NRT,302.24,3.91,D
13.47024,108.25977,333.93,0.38,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.6,2.31,D
13.06886,106.26727,367,0.52,0.66,2026-04-01,0531,N,VIIRS,h,2.0NRT,295.86,9.32,D
13.06275,106.26856,355.62,0.52,0.66,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.01,9.32,D
13.49348,108.57287,333.39,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.39,4.06,D
13.06294,106.26724,367,0.52,0.67,2026-04-01,0531,N,VIIRS,h,2.0NRT,301.17,10.49,D
13.49462,108.57443,332.91,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.49,3.73,D
13.40216,108.20817,349.61,0.38,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.17,6.42,D
13.35378,107.98814,344.87,0.39,0.6,2026-04-01,0531,N,VIIRS,n,2.0NRT,303.21,5.94,D
13.34832,107.98932,354.75,0.39,0.6,2026-04-01,0531,N,VIIRS,n,2.0NRT,304.91,5.94,D
13.36248,108.06184,338.18,0.39,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,298.96,3.35,D
13.36318,108.06546,333.93,0.39,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,298.96,3.35,D
13.63346,108.57016,342.06,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,303.45,6.76,D
13.63215,108.56349,339.46,0.36,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.33,3.53,D
13.49775,107.79743,335.89,0.4,0.6,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.12,3.77,D
13.65942,108.59163,340.66,0.35,0.57,2026-04-01,0531,N,VIIRS,n,2.0NRT,307.01,4.71,D
13.61093,108.34307,338.49,0.37,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,301.43,2.1,D
13.61025,108.3396,333.48,0.37,0.58,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.91,2.1,D
13.12622,106.23583,346.78,0.52,0.67,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.17,5.38,D
13.66334,108.5838,333.81,0.35,0.57,2026-04-01,0531,N,VIIRS,l,2.0NRT,305.25,1.55,D
13.51287,107.78676,331.42,0.4,0.6,2026-04-01,0531,N,VIIRS,l,2.0NRT,301.75,4.26,D
13.24456,106.3541,331.18,0.51,0.66,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.88,3.17,D
13.61431,108.18927,335.87,0.38,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,299,4.18,D
13.62028,108.19128,340.71,0.38,0.59,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.47,4.18,D
13.54932,107.82632,330.37,0.4,0.6,2026-04-01,0531,N,VIIRS,n,2.0NRT,299.34,1.26,D
13.18848,105.91856,338.51,0.54,0.68,2026-04-01,0531,N,VIIRS,n,2.0NRT,300.3,24.25,D
13.18644,105.90848,338.26,0.54,0.68,2026-04-01,0531,N,VIIRS,n,2.0NRT,298,8.26,D
14.28267,104.35224,333.38,0.65,0.73,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.13,3.52,D
15.10164,108.22684,367,0.35,0.57,2026-04-01,0533,N,VIIRS,h,2.0NRT,301.38,36.92,D
15.1004,108.22057,367,0.35,0.57,2026-04-01,0533,N,VIIRS,h,2.0NRT,299.81,20.61,D
15.10102,108.22375,337.1,0.35,0.57,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.11,20.61,D
15.09975,108.21733,336.6,0.35,0.57,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.76,9.2,D
14.74245,106.33562,337.4,0.48,0.64,2026-04-01,0533,N,VIIRS,n,2.0NRT,300.06,4.73,D
14.76602,106.20882,333.19,0.48,0.65,2026-04-01,0533,N,VIIRS,n,2.0NRT,301.54,4.2,D
14.76866,106.20934,332.79,0.48,0.65,2026-04-01,0533,N,VIIRS,n,2.0NRT,300.46,5.94,D
15.04803,107.50255,343.29,0.39,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,293.69,26.25,D
15.04698,107.49741,344.13,0.39,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,301.02,26.25,D
14.84199,106.29372,337.16,0.48,0.64,2026-04-01,0533,N,VIIRS,n,2.0NRT,298.56,8.21,D
14.84106,106.28919,334.09,0.48,0.64,2026-04-01,0533,N,VIIRS,n,2.0NRT,298.11,5.27,D
14.89427,106.39874,331.07,0.47,0.64,2026-04-01,0533,N,VIIRS,l,2.0NRT,302.86,5.71,D
14.87609,106.18822,331.71,0.48,0.65,2026-04-01,0533,N,VIIRS,n,2.0NRT,298.79,4.39,D
14.89764,106.39891,333.71,0.47,0.64,2026-04-01,0533,N,VIIRS,n,2.0NRT,301.45,5.22,D
15.31207,108.22408,345.26,0.35,0.57,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.12,7.45,D
15.31148,108.22115,339.27,0.35,0.57,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.36,4.89,D
15.0943,107.11599,331.89,0.42,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.29,2.32,D
14.40224,103.68825,339.16,0.71,0.75,2026-04-01,0533,N,VIIRS,n,2.0NRT,295.24,7.72,D
14.34131,103.41029,334.42,0.74,0.76,2026-04-01,0533,N,VIIRS,n,2.0NRT,295.85,8.78,D
14.40074,103.68627,344.48,0.71,0.75,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.33,7.75,D
14.33804,103.40886,340.75,0.74,0.76,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.79,9.26,D
14.97742,106.11636,367,0.49,0.65,2026-04-01,0533,N,VIIRS,h,2.0NRT,293.43,17.01,D
15.15568,106.85719,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,296.84,22.73,D
15.15498,106.85376,353.02,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.34,17.29,D
15.03394,105.96723,331.92,0.5,0.65,2026-04-01,0533,N,VIIRS,n,2.0NRT,290.72,3.57,D
15.36463,107.52116,332.2,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.04,1.98,D
15.29897,107.1731,367,0.41,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,294.73,8,D
15.37088,107.52408,334.16,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.43,5.26,D
15.29815,107.16911,341.54,0.41,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,294.6,8,D
15.25105,106.91239,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,297.02,45.4,D
15.30215,107.1604,332.91,0.41,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,293.2,7.19,D
15.30133,107.15639,343.44,0.41,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,293.13,6.19,D
15.25019,106.90823,333.59,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,297.97,45.4,D
15.25656,106.91055,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,299.83,51.69,D
15.2557,106.90636,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,297.89,51.69,D
15.25479,106.90195,341.51,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,294.76,19.9,D
15.26116,106.90427,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,297.33,51.69,D
15.26021,106.89964,350.98,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,294.9,19.9,D
15.31962,107.16081,355.52,0.41,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,292.92,6.09,D
15.06258,105.86111,333.69,0.5,0.66,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.45,6.24,D
15.41545,107.43616,367,0.39,0.59,2026-04-01,0533,N,VIIRS,h,2.0NRT,322.46,188.1,D
15.4147,107.43237,208,0.39,0.59,2026-04-01,0533,N,VIIRS,l,2.0NRT,308.2,129.31,D
15.42146,107.43777,367,0.39,0.59,2026-04-01,0533,N,VIIRS,h,2.0NRT,299.43,285.66,D
15.41988,107.42985,343.67,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,300.58,57.19,D
15.4191,107.42594,334.01,0.39,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,297.24,57.19,D
15.42678,107.43599,367,0.39,0.59,2026-04-01,0533,N,VIIRS,h,2.0NRT,325.13,285.66,D
15.42756,107.43989,334.86,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,298.7,86.85,D
15.42457,107.42487,334.95,0.39,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,298.83,57.19,D
15.42605,107.43229,367,0.39,0.59,2026-04-01,0533,N,VIIRS,l,2.0NRT,376.59,285.66,D
15.42531,107.4286,208,0.39,0.59,2026-04-01,0533,N,VIIRS,l,2.0NRT,305.46,57.19,D
15.43298,107.43859,350.33,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.65,97.6,D
15.43154,107.43138,346.29,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,302.46,109.54,D
15.43085,107.42791,349.72,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,297.38,41.37,D
15.43224,107.43488,321.09,0.39,0.59,2026-04-01,0533,N,VIIRS,l,2.0NRT,322.79,109.54,D
15.28153,106.65479,330.08,0.44,0.63,2026-04-01,0533,N,VIIRS,n,2.0NRT,295.71,13.55,D
15.28084,106.65141,356.31,0.44,0.63,2026-04-01,0533,N,VIIRS,n,2.0NRT,297.97,13.55,D
15.33105,106.87093,348.77,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.82,4.2,D
15.28645,106.64952,354.65,0.44,0.63,2026-04-01,0533,N,VIIRS,n,2.0NRT,295.6,10.85,D
15.34391,106.90571,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,292.74,8.91,D
15.34483,106.91029,343.72,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,291.42,8.91,D
15.34065,106.88936,337.34,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,291.33,7.02,D
15.33753,106.87379,331.84,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,292.44,4.2,D
19.04672,102.44308,338.79,0.69,0.74,2026-04-01,0533,N,VIIRS,n,2.0NRT,294.23,7.29,D
15.33674,106.86988,335.77,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,292.09,4.2,D
15.33587,106.86555,350.49,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,287.83,9.38,D
15.42721,107.43499,367,0.39,0.59,2026-04-01,0533,N,VIIRS,h,2.0NRT,321.55,222.74,D
15.42799,107.43879,335.5,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,298.84,78.07,D
15.42494,107.42403,330.53,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,297.38,62.76,D
15.42646,107.43136,367,0.39,0.59,2026-04-01,0533,N,VIIRS,l,2.0NRT,381.44,222.74,D
15.4257,107.42771,208,0.39,0.59,2026-04-01,0533,N,VIIRS,l,2.0NRT,302.34,62.76,D
15.43198,107.43058,367,0.39,0.59,2026-04-01,0533,N,VIIRS,h,2.0NRT,299.85,222.74,D
15.43343,107.43761,352.65,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.34,78.07,D
15.43127,107.42713,334.31,0.39,0.59,2026-04-01,0533,N,VIIRS,n,2.0NRT,296.99,62.76,D
15.43269,107.43403,310.33,0.39,0.59,2026-04-01,0533,N,VIIRS,l,2.0NRT,320.43,222.74,D
15.28144,106.65128,367,0.44,0.63,2026-04-01,0533,N,VIIRS,h,2.0NRT,299.27,31.85,D
15.33719,106.88963,336.64,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,293.32,3.93,D
15.33635,106.88561,330.87,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,292.13,3.93,D
15.33318,106.87041,353.85,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,295.95,8.18,D
15.33232,106.86624,344.16,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,294.52,4.91,D
15.33144,106.86201,332.65,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,290.44,4.91,D
15.34731,106.91,352.19,0.42,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,289.55,47.43,D
15.34639,106.90556,342.95,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,298.82,47.43,D
15.3452,106.89983,338.14,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,289.4,10.55,D
15.34394,106.89378,333.49,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,287.84,10.55,D
15.34293,106.8889,332.98,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,290.68,3.93,D
15.3397,106.87336,347.36,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,289.76,8.18,D
15.33795,106.86495,330.58,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,284.35,4.91,D
15.43738,107.31824,367,0.4,0.6,2026-04-01,0533,N,VIIRS,h,2.0NRT,307,42.78,D
15.34626,106.87651,335.81,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,283.44,3.36,D
15.3454,106.87235,343.87,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,285.47,4.01,D
15.36231,106.86856,331.9,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,288.63,4.51,D
15.37084,106.88132,334.5,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,294.95,6.2,D
15.38024,106.8697,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,297.97,31.78,D
15.37924,106.86482,330.67,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,294.66,13.98,D
15.48456,107.32529,343.99,0.4,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,298.76,9.03,D
15.48386,107.32182,356.96,0.4,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.07,7.1,D
15.49004,107.3241,335.28,0.4,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.32,9.03,D
15.48936,107.32075,339.16,0.4,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,297.63,7.1,D
15.48688,107.25158,343.69,0.4,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,300.29,3.01,D
15.41888,106.85674,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,294.28,16.64,D
15.43171,106.89115,354.81,0.42,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,293.8,9.02,D
15.43032,106.8843,338.28,0.43,0.62,2026-04-01,0533,N,VIIRS,n,2.0NRT,293.95,5.49,D
15.438,106.89317,367,0.42,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,292.59,9.92,D
15.44026,106.9044,336.54,0.42,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,289.95,7.79,D
15.43872,106.89678,333.39,0.42,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,288.86,9.92,D
15.43728,106.88963,343.5,0.42,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,291.58,9.02,D
15.44426,106.8951,367,0.42,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,294.53,15.41,D
15.44354,106.89151,367,0.42,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,293.62,15.41,D
15.44285,106.8881,367,0.42,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,294.91,11.5,D
15.42024,106.85615,367,0.43,0.62,2026-04-01,0533,N,VIIRS,h,2.0NRT,293.24,18.99,D
15.42632,106.88512,331.95,0.42,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,291.81,1.66,D
15.43332,106.89044,346.21,0.42,0.61,2026-04-01,0533,N,VIIRS,n,2.0NRT,292.51,8.79,D
15.44036,106.89597,367,0.42,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,293.3,22.76,D
15.43961,106.89237,367,0.42,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,294.59,22.76,D
15.43888,106.88888,367,0.42,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,294.14,8.79,D
15.50204,107.19256,328.72,0.41,0.6,2026-04-01,0533,N,VIIRS,n,2.0NRT,292.35,3.55,D
15.76437,108.42702,338.89,0.33,0.55,2026-04-01,0533,N,VIIRS,n,2.0NRT,299.32,3.13,D
15.46754,106.91363,367,0.42,0.61,2026-04-01,0533,N,VIIRS,h,2.0NRT,297.06,63.99,D
