date,station,lat,lon,granule_count,mcd19a2_aod_047,mcd19a2_aod_055,mcd19a2_aod_uncertainty,mcd19a2_aod_qa,mcd19a2_column_wv
2023-01-08,HCM_4,10.88,106.8,1326,,,0.1655,1283.0,1066.0
2023-01-09,HCM_4,10.88,106.8,1277,,,0.162,1283.0,681.5
2023-01-10,HCM_4,10.88,106.8,1288,,,0.2745,1283.0,1489.5
2023-01-11,HCM_4,10.88,106.8,1287,,,0.13,1281.5,1999.0
2023-01-12,HCM_4,10.88,106.8,1279,,,0.2935,1282.0,2677.5
2023-01-13,HCM_4,10.88,106.8,1327,,,0.146,1281.5,1732.0
2023-01-14,HCM_4,10.88,106.8,1271,,,0.26,1283.0,1815.0
2023-01-15,HCM_4,10.88,106.8,1317,0.459,0.333,0.167,4738.0,1866.5
2023-01-16,HCM_4,10.88,106.8,1269,,,0.14250000000000002,1283.0,1790.5
2023-01-17,HCM_4,10.88,106.8,1297,0.509,0.37,0.29400000000000004,4738.0,3013.0
2023-01-18,HCM_4,10.88,106.8,1311,,,0.105,1281.5,2891.0
2023-01-19,HCM_4,10.88,106.8,1283,0.162,0.116,0.34950000000000003,642.0,3802.0
2023-01-20,HCM_4,10.88,106.8,1334,,,0.138,1281.0,495.0
2023-01-21,HCM_4,10.88,106.8,1303,0.056,0.04,0.2335,1142.6666666666667,2545.5
2023-01-22,HCM_4,10.88,106.8,1378,,,0.1735,1283.0,593.0
2023-01-23,HCM_4,10.88,106.8,1342,,,0.131,1283.0,1390.0
2023-01-24,HCM_4,10.88,106.8,1378,0.215,0.155,0.3185,1170.0,2963.0
2023-01-25,HCM_4,10.88,106.8,1390,,,,1280.0,
2023-01-26,HCM_4,10.88,106.8,1359,0.052000000000000005,0.037,0.376,1170.0,2423.0
2023-01-27,HCM_4,10.88,106.8,1421,,,0.1105,1283.0,2553.5
2023-01-28,HCM_4,10.88,106.8,1346,,,0.21850000000000003,1283.0,1913.5
2023-01-29,HCM_4,10.88,106.8,1414,,,0.19,1282.0,1658.5
2023-01-30,HCM_4,10.88,106.8,1368,0.323,0.233,0.1255,1074.0,2288.0
2023-01-31,HCM_4,10.88,106.8,1406,0.169,0.121,0.341,1074.0,3592.0
2023-01-01,HCM_5,10.732,106.72,1307,,,0.297,1281.5,2683.0
2023-01-02,HCM_5,10.732,106.72,1283,,,0.194,1283.0,1202.0
2023-01-03,HCM_5,10.732,106.72,1301,,,0.2585,1282.0,1643.5
2023-01-04,HCM_5,10.732,106.72,1265,,,0.132,1283.0,307.5
2023-01-05,HCM_5,10.732,106.72,1278,,,0.2655,1283.0,663.0
2023-01-06,HCM_5,10.732,106.72,1306,,,0.1265,1283.0,359.5
2023-01-07,HCM_5,10.732,106.72,1278,,,0.266,1283.0,481.5
2023-01-08,HCM_5,10.732,106.72,1326,,,0.17700000000000002,1283.0,1034.5
2023-01-09,HCM_5,10.732,106.72,1277,,,0.16649999999999998,1283.0,2278.5
2023-01-10,HCM_5,10.732,106.72,1288,,,0.2795,1283.0,838.0
2023-01-11,HCM_5,10.732,106.72,1287,,,0.128,1281.5,2375.0
2023-01-12,HCM_5,10.732,106.72,1279,,,0.327,1282.0,3347.5
2023-01-13,HCM_5,10.732,106.72,1327,,,0.15,1281.5,1731.0
2023-01-14,HCM_5,10.732,106.72,1271,,,0.262,1283.0,1214.0
2023-01-15,HCM_5,10.732,106.72,1317,,,0.177,1282.5,1561.5
2023-01-16,HCM_5,10.732,106.72,1269,,,0.145,1283.0,2741.5
2023-01-17,HCM_5,10.732,106.72,1297,,,0.3055,1282.5,3257.5
2023-01-18,HCM_5,10.732,106.72,1311,,,0.10200000000000001,1281.5,835.0
2023-01-19,HCM_5,10.732,106.72,1283,0.387,0.28,0.34,642.0,3939.5
2023-01-20,HCM_5,10.732,106.72,1334,,,0.129,1281.0,678.0
2023-01-21,HCM_5,10.732,106.72,1303,0.241,0.17400000000000002,0.2205,854.6666666666666,2730.5
2023-01-22,HCM_5,10.732,106.72,1378,,,0.16999999999999998,1283.0,742.5
2023-01-23,HCM_5,10.732,106.72,1342,,,0.1225,1283.0,1903.0
2023-01-24,HCM_5,10.732,106.72,1378,0.254,0.1835,0.30300000000000005,1073.0,3560.5
2023-01-25,HCM_5,10.732,106.72,1390,,,,1280.0,
2023-01-26,HCM_5,10.732,106.72,1359,,,0.353,1283.0,1069.5
2023-01-27,HCM_5,10.732,106.72,1421,,,0.106,1283.0,2532.0
2023-01-28,HCM_5,10.732,106.72,1346,,,0.21100000000000002,1283.0,2011.0
2023-01-29,HCM_5,10.732,106.72,1414,,,0.189,1282.0,1125.5
2023-01-30,HCM_5,10.732,106.72,1368,,,0.118,1283.0,1576.0
2023-01-31,HCM_5,10.732,106.72,1406,0.27,0.195,0.332,1074.0,3777.0
