date,station,lat,lon,granule_count,mcd19a2_aod_047,mcd19a2_aod_055,mcd19a2_aod_uncertainty,mcd19a2_aod_qa,mcd19a2_column_wv
2023-01-30,HCM_1,10.7769,106.7009,1368,,,0.11588861076345433,1283.0,1338.0619524405506
2023-01-31,HCM_1,10.7769,106.7009,1406,,,0.33274968710888614,1282.7196495619523,3616.4730913642056
2023-01-01,HCM_2,10.8231,106.6297,1307,,,0.631196988707654,1281.5,2492.8958594730243
2023-01-02,HCM_2,10.8231,106.6297,1283,,,0.3625683814303639,1283.0,1306.6844416562108
2023-01-03,HCM_2,10.8231,106.6297,1301,,,0.29679611041405274,1282.0,1852.30112923463
2023-01-04,HCM_2,10.8231,106.6297,1265,,,0.20238456712672528,1283.0,347.94353826850687
2023-01-05,HCM_2,10.8231,106.6297,1278,,,0.2824579673776663,1283.0,723.1731493099122
2023-01-06,HCM_2,10.8231,106.6297,1306,,,0.2534153074027604,1281.5,418.4190715181933
2023-01-07,HCM_2,10.8231,106.6297,1278,,,0.5097992471769135,1283.0,426.3368883312422
2023-01-08,HCM_2,10.8231,106.6297,1326,,,0.30996737766624843,1283.0,1356.5219573400254
2023-01-09,HCM_2,10.8231,106.6297,1277,,,0.2625219573400251,1283.0,1035.7641154328733
2023-01-10,HCM_2,10.8231,106.6297,1288,,,0.5816599749058972,1283.0,1223.0313676286075
2023-01-11,HCM_2,10.8231,106.6297,1287,,,0.19389711417816816,1281.5,2354.563362609787
2023-01-12,HCM_2,10.8231,106.6297,1279,,,0.3612867001254706,1282.0,3268.869510664994
2023-01-13,HCM_2,10.8231,106.6297,1327,,,0.23035382685069014,1281.5,1288.1907151819323
2023-01-14,HCM_2,10.8231,106.6297,1271,,,0.48581932245922216,1283.0,1923.2189460476789
2023-01-15,HCM_2,10.8231,106.6297,1317,0.35387198067632847,0.2562101449275362,0.2881932245922208,1232.6135508155585,1645.6480552070266
2023-01-16,HCM_2,10.8231,106.6297,1269,0.40878881987577637,0.29630434782608694,0.20574215809284818,1243.8105395232121,2933.6430363864492
2023-01-17,HCM_2,10.8231,106.6297,1297,0.4610476787954831,0.3353174404015057,0.6355100376411544,2610.6951066499373,2992.9441656210793
2023-01-18,HCM_2,10.8231,106.6297,1311,,,0.15882057716436637,1281.8877038895862,2539.058971141782
