hcho_valid_pixels,hcho_mean,hcho_std,hcho_min,hcho_max,hcho_median,location_id,date
131,0.00019400316523388028,0.00011226854985579848,-1.565663296787534e-05,0.00046930270036682487,0.00018909819482360035,6123215,2024-07-05
91,0.00017569238843861967,0.00016475902521051466,-9.809184848563746e-05,0.0006796179804950953,0.00017523477436043322,6123215,2024-07-06
79,0.00020756850426550955,0.0001358704175800085,-5.3318119171308354e-05,0.0006874907412566245,0.00019238999811932445,6123215,2024-07-07
44,0.0002307634276803583,0.0001549829903524369,-3.8707468775101006e-05,0.0008516419911757112,0.00020825283718295395,6123215,2024-07-08
63,0.00020575150847434998,0.00010049231059383601,3.226424814783968e-05,0.0006740216631442308,0.00018176005687564611,6123215,2024-07-09
5,0.00011213740799576044,8.696619624970481e-05,3.712843681569211e-05,0.00025372239178977907,5.942828647675924e-05,6123215,2024-07-10
152,0.00024534217664040625,0.00012883645831607282,-2.724742444115691e-05,0.000522697577252984,0.00023192321532405913,6123215,2024-07-11
121,0.0002245912910439074,9.977927402360365e-05,-2.0862607925664634e-05,0.0004887435934506357,0.00021520948212128133,6123215,2024-07-12
122,0.00023711318499408662,0.00012971795513294637,-6.50433503324166e-05,0.0005790397990494967,0.00022485171211883426,6123215,2024-07-13
35,0.0002524613810237497,0.00015014679229352623,4.786615591001464e-06,0.0005727187381125987,0.000236645937548019,6123215,2024-07-14
70,0.00016373909602407366,0.00011993106454610825,-0.0001085751355276443,0.00043088814709335566,0.00015966851788107306,6123215,2024-07-15
69,0.00023553955543320626,0.00012033451639581472,-2.8757916879840195e-05,0.0004776553832925856,0.00022937750327400863,6123215,2024-07-16
2,7.306302723009139e-05,0.0,7.306302723009139e-05,7.306302723009139e-05,7.306302723009139e-05,6123215,2024-07-17
4,0.0001647106109885499,4.4061136577511206e-05,0.00012064947077305987,0.0002087717439280823,0.0001647106109885499,6123215,2024-07-18
45,0.00013616183423437178,9.064016921911389e-05,-6.628738628933206e-05,0.00037035663262940943,0.00011269974493188784,6123215,2024-07-19
13,0.0001606944133527577,9.460211731493473e-05,1.1444898518675473e-05,0.0003167995309922844,0.00016665214207023382,6123215,2024-07-20
127,0.00021812952763866633,0.00010959884093608707,-1.2783505098923342e-06,0.00044295331463217735,0.0002262900525238365,6123215,2024-07-21
0,,,,,,6123215,2024-07-22
0,,,,,,6123215,2024-07-23
34,0.00019593046454247087,8.018242078833282e-05,1.0413928976049647e-05,0.0003767510352190584,0.0001902427466120571,6123215,2024-07-24
13,0.00030078276176936924,0.00020554041839204729,-0.00013088513514958322,0.0007826861110515893,0.00024816521909087896,6123215,2024-07-25
156,0.00025602171081118286,0.00013933656737208366,-0.00013540023064706475,0.0009262646199204028,0.00023947752197273076,6123215,2024-07-26
96,0.00044614417129196227,0.00026310139219276607,-0.0006338614621199667,0.001315914443694055,0.0004611123586073518,6123215,2024-07-27
2,0.0004390683607198298,0.0,0.0004390683607198298,0.0004390683607198298,0.0004390683607198298,6123215,2024-07-28
0,,,,,,6123215,2024-07-29
0,,,,,,6123215,2024-07-30
0,,,,,,6123215,2024-07-31
0,,,,,,6123215,2024-08-01
0,,,,,,6123215,2024-08-02
13,0.00011882644321303815,8.391742449020967e-05,-7.76942033553496e-05,0.000227749565965496,0.00015189308032859117,6123215,2024-08-03
147,0.0001323901815339923,9.767767187440768e-05,-0.00019614430493675172,0.0004223466385155916,0.00012801682169083506,6123215,2024-08-04
98,0.00017952466441784054,0.00012448773486539721,-0.00012203564983792603,0.0007622172706760466,0.00015980241005308926,6123215,2024-08-05
130,0.0002744324447121471,0.00011531524796737358,6.938150181667879e-05,0.000608231290243566,0.000244152412051335,6123215,2024-08-06
80,0.00022223152336664498,0.00017222340102307498,-0.00022218227968551219,0.0006519709131680429,0.00019200761744286865,6123215,2024-08-07
135,0.00019642831466626376,9.571337432134897e-05,-3.961024049203843e-06,0.0005085996817797422,0.00019352695380803198,6123215,2024-08-08
155,0.0002512631472200155,0.00013290568313095719,-5.346246325643733e-05,0.0006671788869425654,0.00024505177862010896,6123215,2024-08-09
132,0.00024183625646401197,0.0001134432022809051,-6.406007287296234e-06,0.0006744632846675813,0.0002293443976668641,6123215,2024-08-10
1,0.00025304770679213107,0.0,0.00025304770679213107,0.00025304770679213107,0.00025304770679213107,6123215,2024-08-11
0,,,,,,6123215,2024-08-12
40,0.00022615850321017206,0.00012530823005363345,-4.178056042292155e-05,0.00043815962271764874,0.00024551551905460656,6123215,2024-08-13
9,0.00026069156592711806,0.00012270172010175884,8.400031219935045e-05,0.00046567159006372094,0.000211590580875054,6123215,2024-08-14
60,0.00020006693375762552,9.46053332882002e-05,3.0865253393130843e-06,0.00040842665475793183,0.00019033215357922018,6123215,2024-08-15
89,0.00022042900673113763,0.0001008575563901104,-1.1444488336564973e-05,0.00045507587492465973,0.00021690719586331397,6123215,2024-08-16
14,0.0003586687089409679,7.109899161150679e-05,0.0002282553759869188,0.0004930458380840719,0.00035227229818701744,6123215,2024-08-17
7,0.000301633175695315,0.00010923192166956142,0.0002285864029545337,0.00047421915223822,0.00023861740191932768,6123215,2024-08-18
81,0.0003056419955100864,0.00014301911869551986,3.441882654442452e-05,0.0007970252190716565,0.00027264704112894833,6123215,2024-08-19
92,0.0002556226681917906,0.0001229866174980998,3.333331915200688e-05,0.0006130744004622102,0.0002548171323724091,6123215,2024-08-20
16,0.00030335295014083385,8.984181476989761e-05,0.00011205719783902168,0.0004430076223798096,0.00031438731821253896,6123215,2024-08-21
84,0.0002497213426977396,0.00014132112846709788,5.2201376092853025e-05,0.0008415908669121563,0.00023921384126879275,6123215,2024-08-22
0,,,,,,6123215,2024-08-23
78,0.00018516293494030833,0.00012143590720370412,-0.00015250423166435212,0.00048224368947558105,0.0001671421923674643,6123215,2024-08-24
0,,,,,,6123215,2024-08-29
156,0.0002595145197119564,0.00010479288903297856,-9.352848792332225e-06,0.0005159462452866137,0.00026850978611037135,6123215,2024-08-30
154,0.000204135911189951,0.00010346904309699312,-3.38909485435579e-05,0.00047765948693268,0.00019960352801717818,6123215,2024-08-31
152,0.00025094012380577624,9.24479027162306e-05,5.2292980399215594e-05,0.0005643093027174473,0.00023036102356854826,6123215,2024-09-03
156,0.0002601296582724899,0.00010918584302999079,-9.89559545416796e-10,0.0005041845142841339,0.0002640529128257185,6123215,2024-09-04
142,0.00027464094455353916,0.0001199760808958672,-2.7323232643539086e-05,0.0006035660044290125,0.0002768524282146245,6123215,2024-09-05
65,0.0003426640760153532,0.00012960948515683413,0.00011322975478833541,0.0006906646303832531,0.0003217721823602915,6123215,2024-09-06
0,,,,,,6123215,2024-09-07
0,,,,,,6123215,2024-09-09
0,,,,,,6123215,2024-09-10
0,,,,,,6123215,2024-09-11
38,0.00024753957404755056,8.181683369912207e-05,6.845597818028182e-05,0.0004640182014554739,0.0002481237461324781,6123215,2024-09-12
63,0.0001722711167531088,0.00014379170897882432,-0.0001350258244201541,0.00048064833390526474,0.00015382647688966244,6123215,2024-09-13
130,0.00029586898745037615,0.00011614782852120697,2.9611497666337527e-05,0.0006450770888477564,0.0002711209817789495,6123215,2024-09-14
130,0.0003059266018681228,0.0001126899805967696,2.021902400883846e-05,0.0006328091840259731,0.0002961055433843285,6123215,2024-09-15
156,0.00023166663595475256,0.0001094651670427993,-3.20152030326426e-05,0.00048064193106256425,0.00022133247694000602,6123215,2024-09-16
7,0.0002510190533939749,0.00012777243682648987,6.641996878897771e-05,0.00044839433394372463,0.00024691634462215006,6123215,2024-09-17
20,0.00022975639149080962,9.705257252790034e-05,9.655288886278868e-05,0.00041630250052548945,0.00022832531249150634,6123215,2024-09-18
13,0.00033701120992191136,0.00010986153938574716,0.00015820343105588108,0.00047478819033131003,0.0003203383239451796,6123215,2024-09-19
25,0.00018060013826470822,0.00012031743244733661,-2.8832748284912668e-05,0.0004115666088182479,0.00016672178753651679,6123215,2024-09-20
70,0.0002030010218732059,9.85226797638461e-05,-9.332425179309212e-06,0.0004198694950900972,0.0001828967360779643,6123215,2024-09-21
0,,,,,,6123215,2024-09-22
0,,,,,,6123215,2024-09-23
147,0.0002173899265471846,0.00014649673539679497,-0.00024156867584679276,0.0005542641738429666,0.00021945254411548376,6123215,2024-09-24
0,,,,,,6123215,2024-09-25
107,0.0001824714709073305,9.656741167418659e-05,-2.607180613267701e-05,0.0004442474455572665,0.00017588058835826814,6123215,2024-09-26
150,0.00020957116794306785,0.0001011830972856842,-0.00010751576337497681,0.0004929077695123851,0.0002078638062812388,6123215,2024-09-27
156,0.0001797540026018396,9.78101379587315e-05,-4.150840322836302e-05,0.00041686458280310035,0.0001858617179095745,6123215,2024-09-28
61,0.00015086868370417506,0.00010906377428909764,-9.025994222611189e-05,0.0004097649361938238,0.0001517609052825719,6123215,2024-09-29
6,0.0002602403110358864,0.0003183223307132721,-3.7990128021192504e-06,0.0007020782213658094,8.244172931881621e-05,6123215,2024-09-30
10,0.00018073154205922037,7.086156983859837e-05,6.68164502712898e-05,0.00028982857475057244,0.00017961880075745285,6123215,2024-10-01
141,0.00019799827714450657,0.00012870001955889165,-0.00012633133155759424,0.0004986459389328957,0.0001899110502563417,6123215,2024-10-02
156,0.00019414190319366753,0.00012346309085842222,-6.139859033282846e-05,0.0005852095782756805,0.0001940888469107449,6123215,2024-10-03
132,0.00030460915877483785,0.00024991619284264743,-0.00023855709878262132,0.001108274795114994,0.0002810467267408967,6123215,2024-10-04
156,0.0002840204688254744,9.662417141953483e-05,6.917129940120503e-05,0.0005223434418439865,0.0002849391021300107,6123215,2024-10-05
156,0.00022565916879102588,0.00011194746912224218,-0.00011895888746948913,0.0005356927867978811,0.0002170508523704484,6123215,2024-10-06
148,0.0002424243721179664,0.00010824324999703094,-8.93768883543089e-05,0.0005378606147132814,0.00023982356651686132,6123215,2024-10-07
156,0.00029097069636918604,0.0001226205931743607,2.9303582778084092e-05,0.000545907998457551,0.0002798184286803007,6123215,2024-10-08
75,0.00015637994511052966,9.939077426679432e-05,-0.00013154586486052722,0.0003752362681552768,0.00015580306353513151,6123215,2024-10-09
67,0.00012876158871222287,0.0001179501268779859,-0.0001725658366922289,0.00032856929465197027,0.0001422797067789361,6123215,2024-10-10
115,0.00017233988910447806,7.008880493231118e-05,2.3531922124675475e-05,0.00042801123345270753,0.00016198291268665344,6123215,2024-10-11
81,0.0001754351833369583,5.730112752644345e-05,3.935215499950573e-05,0.0003284543636254966,0.00017929838213603944,6123215,2024-10-12
42,0.00017436331836506724,7.614819332957268e-05,1.7163831216748804e-05,0.00034441720345057547,0.00018230508430860937,6123215,2024-10-13
143,0.0001714989193715155,7.141997048165649e-05,-5.451120887300931e-05,0.00040836306288838387,0.00017273557023145258,6123215,2024-10-14
62,0.0001431995624443516,7.780435407767072e-05,-9.094774577533826e-05,0.0002857243816833943,0.00015769683523103595,6123215,2024-10-15
15,0.00011481585534056649,4.026189708383754e-05,4.590147000271827e-05,0.0001816715521272272,0.0001108283395296894,6123215,2024-10-16
122,0.0001563515979796648,6.676701013930142e-05,1.075494583346881e-05,0.0003601043426897377,0.00015832798089832067,6123215,2024-10-17
105,0.00018553568224888295,9.449572826270014e-05,-4.2566636693663895e-05,0.0004390663234516978,0.0001776757708285004,6123215,2024-10-18
44,0.00016841602337080985,9.765021968632936e-05,-1.5074576367624104e-05,0.00040212442399933934,0.0001760484155965969,6123215,2024-10-19
152,0.00018956235726363957,6.947404472157359e-05,1.7554812075104564e-05,0.0003921147726941854,0.00019699762924574316,6123215,2024-10-20
0,,,,,,6123215,2024-10-21
156,0.00016455142758786678,7.885623199399561e-05,-5.341343057807535e-05,0.00043525357614271343,0.00016972888261079788,6123215,2024-10-22
131,0.00015163728676270694,0.0001029829727485776,-0.00010438118624733761,0.0003672358870971948,0.00015553984849248081,6123215,2024-10-23
156,0.00018843836733140051,0.00011905707651749253,-0.00012605210940819234,0.000492339488118887,0.00019754641107283533,6123215,2024-10-24
156,0.0002717954630497843,0.00015595898730680346,-5.3610976465279236e-05,0.0006939531303942204,0.00025397518766112626,6123215,2024-10-25
156,0.00016093179874587804,0.0001654420339036733,-0.0003122255438938737,0.0006075293058529496,0.0001724475878290832,6123215,2024-10-26
0,,,,,,6123215,2024-10-27
0,,,,,,6123215,2024-10-28
0,,,,,,6123215,2024-10-29
155,0.00022278788674157113,0.00010997225035680458,-6.480073352577165e-05,0.0005363328964449465,0.00022774406534153968,6123215,2024-10-30
147,0.0003042949829250574,0.00015974114648997784,-0.00016614377091173083,0.0006235617329366505,0.00030575323035009205,6123215,2024-10-31
156,0.00022197910584509373,0.00010805964120663702,-0.00016859700554050505,0.0005068336031399667,0.00023241799499373883,6123215,2024-11-01
156,0.00023153613437898457,0.00012320077803451568,-0.00011773422011174262,0.0005315105081535876,0.00022835773415863514,6123215,2024-11-02
0,,,,,,6123215,2024-11-03
0,,,,,,6123215,2024-11-04
0,,,,,,6123215,2024-11-05
0,,,,,,6123215,2024-11-06
150,0.0001962784881470725,9.157892054645345e-05,1.5736760587969911e-06,0.00043267739238217473,0.0001921062357723713,6123215,2024-11-07
